,Region
167,"Anterolateral visual area, layer 4"
168,"Anterolateral visual area, layer 5"
169,"Anterolateral visual area, layer 6a"
170,"Anterolateral visual area, layer 6b"
171,Anteromedial visual area
172,"Anteromedial visual area, layer 1"
173,"Anteromedial visual area, layer 2/3"
174,"Anteromedial visual area, layer 4"
175,"Anteromedial visual area, layer 5"
176,"Anteromedial visual area, layer 6a"
177,"Anteromedial visual area, layer 6b"
178,Lateral visual area
179,"Lateral visual area, layer 1"
180,"Lateral visual area, layer 2/3"
181,"Lateral visual area, layer 4"
182,"Lateral visual area, layer 5"
183,"Lateral visual area, layer 6a"
184,"Lateral visual area, layer 6b"
185,Primary visual area
186,"Primary visual area, layer 1"
187,"Primary visual area, layer 2/3"
188,"Primary visual area, layer 4"
189,"Primary visual area, layer 5"
190,"Primary visual area, layer 6a"
191,"Primary visual area, layer 6b"
192,Posterolateral visual area
193,"Posterolateral visual area, layer 1"
194,"Posterolateral visual area, layer 2/3"
195,"Posterolateral visual area, layer 4"
196,"Posterolateral visual area, layer 5"
197,"Posterolateral visual area, layer 6a"
198,"Posterolateral visual area, layer 6b"
199,posteromedial visual area
200,"posteromedial visual area, layer 1"
201,"posteromedial visual area, layer 2/3"
202,"posteromedial visual area, layer 4"
203,"posteromedial visual area, layer 5"
204,"posteromedial visual area, layer 6a"
205,"posteromedial visual area, layer 6b"
206,Laterointermediate area
207,"Laterointermediate area, layer 1"
208,"Laterointermediate area, layer 2/3"
209,"Laterointermediate area, layer 4"
210,"Laterointermediate area, layer 5"
211,"Laterointermediate area, layer 6a"
212,"Laterointermediate area, layer 6b"
213,Postrhinal area
214,"Postrhinal area, layer 1"
215,"Postrhinal area, layer 2/3"
216,"Postrhinal area, layer 4"
217,"Postrhinal area, layer 5"
218,"Postrhinal area, layer 6a"
219,"Postrhinal area, layer 6b"
220,Anterior cingulate area
221,"Anterior cingulate area, layer 1"
222,"Anterior cingulate area, layer 2/3"
223,"Anterior cingulate area, layer 5"
224,"Anterior cingulate area, layer 6a"
225,"Anterior cingulate area, layer 6b"
226,"Anterior cingulate area, dorsal part"
227,"Anterior cingulate area, dorsal part, layer 1"
228,"Anterior cingulate area, dorsal part, layer 2/3"
229,"Anterior cingulate area, dorsal part, layer 5"
230,"Anterior cingulate area, dorsal part, layer 6a"
231,"Anterior cingulate area, dorsal part, layer 6b"
232,"Anterior cingulate area, ventral part"
233,"Anterior cingulate area, ventral part, layer 1"
234,"Anterior cingulate area, ventral part, layer 2/3"
235,"Anterior cingulate area, ventral part, layer 5"
236,"Anterior cingulate area, ventral part, 6a"
237,"Anterior cingulate area, ventral part, 6b"
238,Prelimbic area
239,"Prelimbic area, layer 1"
240,"Prelimbic area, layer 2"
241,"Prelimbic area, layer 2/3"
242,"Prelimbic area, layer 5"
243,"Prelimbic area, layer 6a"
244,"Prelimbic area, layer 6b"
245,Infralimbic area
246,"Infralimbic area, layer 1"
247,"Infralimbic area, layer 2"
248,"Infralimbic area, layer 2/3"
249,"Infralimbic area, layer 5"
250,"Infralimbic area, layer 6a"
251,"Infralimbic area, layer 6b"
