,Region
719,Nucleus circularis
720,Paraventricular hypothalamic nucleus
721,"Paraventricular hypothalamic nucleus, magnocellular division"
722,"Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part"
723,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part"
724,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part"
725,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone"
726,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone"
727,"Paraventricular hypothalamic nucleus, parvicellular division"
728,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part"
729,"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone"
730,"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part"
731,"Periventricular hypothalamic nucleus, anterior part"
732,"Periventricular hypothalamic nucleus, intermediate part"
733,Arcuate hypothalamic nucleus
734,Periventricular region
735,Anterodorsal preoptic nucleus
736,Anterior hypothalamic area
737,Anteroventral preoptic nucleus
738,Anteroventral periventricular nucleus
739,Dorsomedial nucleus of the hypothalamus
740,"Dorsomedial nucleus of the hypothalamus, anterior part"
741,"Dorsomedial nucleus of the hypothalamus, posterior part"
742,"Dorsomedial nucleus of the hypothalamus, ventral part"
743,Median preoptic nucleus
744,Medial preoptic area
745,Vascular organ of the lamina terminalis
746,Posterodorsal preoptic nucleus
747,Parastrial nucleus
748,Suprachiasmatic preoptic nucleus
749,"Periventricular hypothalamic nucleus, posterior part"
750,"Periventricular hypothalamic nucleus, preoptic part"
751,Subparaventricular zone
752,Suprachiasmatic nucleus
753,Subfornical organ
754,Ventromedial preoptic nucleus
755,Ventrolateral preoptic nucleus
756,Hypothalamic medial zone
757,Anterior hypothalamic nucleus
758,"Anterior hypothalamic nucleus, anterior part"
759,"Anterior hypothalamic nucleus, central part"
760,"Anterior hypothalamic nucleus, dorsal part"
761,"Anterior hypothalamic nucleus, posterior part"
762,Mammillary body
763,Lateral mammillary nucleus
764,Medial mammillary nucleus
765,"Medial mammillary nucleus, median part"
766,"Medial mammillary nucleus, lateral part"
767,"Medial mammillary nucleus, medial part"
768,"Medial mammillary nucleus, posterior part"
769,"Medial mammillary nucleus, dorsal part"
770,Supramammillary nucleus
771,"Supramammillary nucleus, lateral part"
772,"Supramammillary nucleus, medial part"
773,Tuberomammillary nucleus
774,"Tuberomammillary nucleus, dorsal part"
775,"Tuberomammillary nucleus, ventral part"
776,Medial preoptic nucleus
777,"Medial preoptic nucleus, central part"
778,"Medial preoptic nucleus, lateral part"
779,"Medial preoptic nucleus, medial part"
780,Dorsal premammillary nucleus
781,Ventral premammillary nucleus
782,"Paraventricular hypothalamic nucleus, descending division"
783,"Paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part"
784,"Paraventricular hypothalamic nucleus, descending division, forniceal part"
785,"Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part"
786,"Paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone"
787,Ventromedial hypothalamic nucleus
788,"Ventromedial hypothalamic nucleus, anterior part"
789,"Ventromedial hypothalamic nucleus, central part"
790,"Ventromedial hypothalamic nucleus, dorsomedial part"
791,"Ventromedial hypothalamic nucleus, ventrolateral part"
792,Posterior hypothalamic nucleus
793,Hypothalamic lateral zone
794,Lateral hypothalamic area
795,Lateral preoptic area
796,Preparasubthalamic nucleus
797,Parasubthalamic nucleus
798,Perifornical nucleus
799,Retrochiasmatic area
800,Subthalamic nucleus
801,Tuberal nucleus
802,Zona incerta
803,Dopaminergic A13 group
804,Fields of Forel
805,Median eminence
806,Midbrain
807,"Midbrain, sensory related"
808,"Superior colliculus, sensory related"
809,"Superior colliculus, optic layer"
810,"Superior colliculus, superficial gray layer"
811,"Superior colliculus, zonal layer"
812,Inferior colliculus
813,"Inferior colliculus, central nucleus"
814,"Inferior colliculus, dorsal nucleus"
815,"Inferior colliculus, external nucleus"
816,Nucleus of the brachium of the inferior colliculus
817,Nucleus sagulum
818,Parabigeminal nucleus
819,Midbrain trigeminal nucleus
820,Subcommissural organ
821,"Midbrain, motor related"
822,"Substantia nigra, reticular part"
823,Ventral tegmental area
824,Paranigral nucleus
825,"Midbrain reticular nucleus, retrorubral area"
826,Midbrain reticular nucleus
827,"Midbrain reticular nucleus, magnocellular part"
828,"Midbrain reticular nucleus, magnocellular part, general"
829,"Midbrain reticular nucleus, parvicellular part"
830,"Superior colliculus, motor related"
831,"Superior colliculus, motor related, deep gray layer"
832,"Superior colliculus, motor related, deep white layer"
833,"Superior colliculus, motor related, intermediate white layer"
834,"Superior colliculus, motor related, intermediate gray layer"
835,"Superior colliculus, motor related, intermediate gray layer, sublayer a"
836,"Superior colliculus, motor related, intermediate gray layer, sublayer b"
837,"Superior colliculus, motor related, intermediate gray layer, sublayer c"
838,Periaqueductal gray
839,Precommissural nucleus
840,Interstitial nucleus of Cajal
841,Nucleus of Darkschewitsch
842,Supraoculomotor periaqueductal gray
843,Pretectal region
844,Anterior pretectal nucleus
845,Medial pretectal area
846,Nucleus of the optic tract
847,Nucleus of the posterior commissure
848,Olivary pretectal nucleus
849,Posterior pretectal nucleus
850,Retroparafascicular nucleus
851,Intercollicular nucleus
852,Cuneiform nucleus
853,Red nucleus
854,Oculomotor nucleus
855,Medial accesory oculomotor nucleus
856,Edinger-Westphal nucleus
857,Trochlear nucleus
858,Paratrochlear nucleus
859,Ventral tegmental nucleus
860,Anterior tegmental nucleus
861,Lateral terminal nucleus of the accessory optic tract
862,Dorsal terminal nucleus of the accessory optic tract
863,Medial terminal nucleus of the accessory optic tract
864,"Substantia nigra, lateral part"
865,"Midbrain, behavioral state related"
866,"Substantia nigra, compact part"
867,Pedunculopontine nucleus
868,Midbrain raphe nuclei
869,Interfascicular nucleus raphe
870,Interpeduncular nucleus
871,"Interpeduncular nucleus, rostral"
872,"Interpeduncular nucleus, caudal"
873,"Interpeduncular nucleus, apical"
874,"Interpeduncular nucleus, lateral"
875,"Interpeduncular nucleus, intermediate"
876,"Interpeduncular nucleus, dorsomedial"
877,"Interpeduncular nucleus, dorsolateral"
878,"Interpeduncular nucleus, rostrolateral"
879,Rostral linear nucleus raphe
880,Central linear nucleus raphe
881,Dorsal nucleus raphe
882,Hindbrain
883,Pons
884,"Pons, sensory related"
885,Nucleus of the lateral lemniscus
886,"Nucleus of the lateral lemniscus, dorsal part"
887,"Nucleus of the lateral lemniscus, horizontal part"
888,"Nucleus of the lateral lemniscus, ventral part"
889,Principal sensory nucleus of the trigeminal
890,Parabrachial nucleus
891,Koelliker-Fuse subnucleus
892,"Parabrachial nucleus, lateral division"
893,"Parabrachial nucleus, lateral division, central lateral part"
894,"Parabrachial nucleus, lateral division, dorsal lateral part"
895,"Parabrachial nucleus, lateral division, external lateral part"
896,"Parabrachial nucleus, lateral division, superior lateral part"
897,"Parabrachial nucleus, lateral division, ventral lateral part"
898,"Parabrachial nucleus, medial division"
899,"Parabrachial nucleus, medial division, external medial part"
900,"Parabrachial nucleus, medial division, medial medial part"
901,"Parabrachial nucleus, medial division, ventral medial part"
902,Superior olivary complex
903,"Superior olivary complex, periolivary region"
904,"Superior olivary complex, medial part"
905,"Superior olivary complex, lateral part"
906,"Pons, motor related"
907,Barrington's nucleus
908,Dorsal tegmental nucleus
909,Lateral tegmental nucleus
910,Posterodorsal tegmental nucleus
911,Pontine central gray
912,Pontine gray
913,"Pontine reticular nucleus, caudal part"
914,"Pontine reticular nucleus, ventral part"
915,Supragenual nucleus
916,Superior salivatory nucleus
917,Supratrigeminal nucleus
918,Tegmental reticular nucleus
919,Motor nucleus of trigeminal
920,Peritrigeminal zone
921,Accessory trigeminal nucleus
922,Parvicellular motor 5 nucleus
923,Intertrigeminal nucleus
924,"Pons, behavioral state related"
925,Superior central nucleus raphe
926,"Superior central nucleus raphe, lateral part"
927,"Superior central nucleus raphe, medial part"
928,Locus ceruleus
929,Laterodorsal tegmental nucleus
930,Nucleus incertus
931,Pontine reticular nucleus
932,Nucleus raphe pontis
933,Subceruleus nucleus
934,Sublaterodorsal nucleus
935,Medulla
936,"Medulla, sensory related"
937,Area postrema
938,Cochlear nuclei
939,Granular lamina of the cochlear nuclei
940,"Cochlear nucleus, subpedunclular granular region"
941,Dorsal cochlear nucleus
942,Ventral cochlear nucleus
943,Dorsal column nuclei
944,Cuneate nucleus
945,Gracile nucleus
946,External cuneate nucleus
947,Nucleus of the trapezoid body
948,Nucleus of the solitary tract
949,"Nucleus of the solitary tract, central part"
950,"Nucleus of the solitary tract, commissural part"
951,"Nucleus of the solitary tract, gelatinous part"
952,"Nucleus of the solitary tract, lateral part"
953,"Nucleus of the solitary tract, medial part"
954,"Spinal nucleus of the trigeminal, caudal part"
955,"Spinal nucleus of the trigeminal, interpolar part"
956,"Spinal nucleus of the trigeminal, oral part"
957,"Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part"
958,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone"
959,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone"
960,"Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part"
961,"Spinal nucleus of the trigeminal, oral part, ventrolateral part"
962,Paratrigeminal nucleus
963,Nucleus z
964,"Medulla, motor related"
965,Abducens nucleus
966,Accessory abducens nucleus
967,Facial motor nucleus
968,Accessory facial motor nucleus
969,Efferent vestibular nucleus
970,Nucleus ambiguus
971,"Nucleus ambiguus, dorsal division"
972,"Nucleus ambiguus, ventral division"
973,Dorsal motor nucleus of the vagus nerve
974,Efferent cochlear group
975,Gigantocellular reticular nucleus
976,Infracerebellar nucleus
977,Inferior olivary complex
978,Intermediate reticular nucleus
979,Inferior salivatory nucleus
980,Linear nucleus of the medulla
981,Lateral reticular nucleus
982,"Lateral reticular nucleus, magnocellular part"
983,"Lateral reticular nucleus, parvicellular part"
984,Magnocellular reticular nucleus
985,Medullary reticular nucleus
986,"Medullary reticular nucleus, dorsal part"
987,"Medullary reticular nucleus, ventral part"
988,Parvicellular reticular nucleus
989,Parasolitary nucleus
990,Paragigantocellular reticular nucleus
991,"Paragigantocellular reticular nucleus, dorsal part"
992,"Paragigantocellular reticular nucleus, lateral part"
993,Perihypoglossal nuclei
994,Nucleus intercalatus
995,Nucleus of Roller
996,Nucleus prepositus
997,Paramedian reticular nucleus
998,Parapyramidal nucleus
999,"Parapyramidal nucleus, deep part"
1000,"Parapyramidal nucleus, superficial part"
1001,Vestibular nuclei
1002,Lateral vestibular nucleus
1003,Medial vestibular nucleus
1004,Spinal vestibular nucleus
1005,Superior vestibular nucleus
1006,Nucleus x
1007,Hypoglossal nucleus
1008,Nucleus y
1009,Interstitial nucleus of the vestibular nerve
1010,"Medulla, behavioral state related"
1011,Nucleus raphe magnus
1012,Nucleus raphe pallidus
1013,Nucleus raphe obscurus
1014,Cerebellum
1015,Cerebellar cortex
1016,"Cerebellar cortex, molecular layer"
1017,"Cerebellar cortex, Purkinje layer"
1018,"Cerebellar cortex, granular layer"
1019,Vermal regions
1020,Lingula (I)
1021,"Lingula (I), molecular layer"
1022,"Lingula (I), Purkinje layer"
1023,"Lingula (I), granular layer"
1024,Central lobule
1025,Lobule II
1026,"Lobule II, molecular layer"
1027,"Lobule II, Purkinje layer"
1028,"Lobule II, granular layer"
1029,Lobule III
1030,"Lobule III, molecular layer"
1031,"Lobule III, Purkinje layer"
1032,"Lobule III, granular layer"
1033,Culmen
1034,Lobule IV
1035,"Lobule IV, molecular layer"
1036,"Lobule IV, Purkinje layer"
1037,"Lobule IV, granular layer"
1038,Lobule V
1039,"Lobule V, molecular layer"
1040,"Lobule V, Purkinje layer"
1041,"Lobule V, granular layer"
1042,Lobules IV-V
1043,"Lobules IV-V, molecular layer"
1044,"Lobules IV-V, Purkinje layer"
1045,"Lobules IV-V, granular layer"
1046,Declive (VI)
1047,"Declive (VI), molecular layer"
1048,"Declive (VI), Purkinje layer"
1049,"Declive (VI), granular layer"
1050,Folium-tuber vermis (VII)
1051,"Folium-tuber vermis (VII), molecular layer"
1052,"Folium-tuber vermis (VII), Purkinje layer"
1053,"Folium-tuber vermis (VII), granular layer"
1054,Pyramus (VIII)
1055,"Pyramus (VIII), molecular layer"
1056,"Pyramus (VIII), Purkinje layer"
1057,"Pyramus (VIII), granular layer"
1058,Uvula (IX)
1059,"Uvula (IX), molecular layer"
1060,"Uvula (IX), Purkinje layer"
1061,"Uvula (IX), granular layer"
1062,Nodulus (X)
1063,"Nodulus (X), molecular layer"
1064,"Nodulus (X), Purkinje layer"
1065,"Nodulus (X), granular layer"
1066,Hemispheric regions
1067,Simple lobule
1068,"Simple lobule, molecular layer"
1069,"Simple lobule, Purkinje layer"
1070,"Simple lobule, granular layer"
1071,Ansiform lobule
1072,Crus 1
1073,"Crus 1, molecular layer"
1074,"Crus 1, Purkinje layer"
1075,"Crus 1, granular layer"
1076,Crus 2
1077,"Crus 2, molecular layer"
1078,"Crus 2, Purkinje layer"
1079,"Crus 2, granular layer"
1080,Paramedian lobule
1081,"Paramedian lobule, molecular layer"
1082,"Paramedian lobule, Purkinje layer"
1083,"Paramedian lobule, granular layer"
1084,Copula pyramidis
1085,"Copula pyramidis, molecular layer"
1086,"Copula pyramidis, Purkinje layer"
1087,"Copula pyramidis, granular layer"
1088,Paraflocculus
1089,"Paraflocculus, molecular layer"
1090,"Paraflocculus, Purkinje layer"
1091,"Paraflocculus, granular layer"
1092,Flocculus
1093,"Flocculus, molecular layer"
1094,"Flocculus, Purkinje layer"
1095,"Flocculus, granular layer"
1096,Cerebellar nuclei
1097,Fastigial nucleus
1098,Interposed nucleus
1099,Dentate nucleus
1100,Vestibulocerebellar nucleus
1101,fiber tracts
1102,cranial nerves
1103,terminal nerve
1104,vomeronasal nerve
1105,olfactory nerve
1106,olfactory nerve layer of main olfactory bulb
1107,"lateral olfactory tract, general"
1108,"lateral olfactory tract, body"
1109,dorsal limb
1110,accessory olfactory tract
1111,"anterior commissure, olfactory limb"
1112,optic nerve
1113,accessory optic tract
1114,brachium of the superior colliculus
1115,superior colliculus commissure
1116,optic chiasm
1117,optic tract
1118,tectothalamic pathway
1119,oculomotor nerve
1120,medial longitudinal fascicle
1121,posterior commissure
1122,trochlear nerve
1123,trochlear nerve decussation
1124,abducens nerve
1125,trigeminal nerve
1126,motor root of the trigeminal nerve
1127,sensory root of the trigeminal nerve
1128,midbrain tract of the trigeminal nerve
1129,spinal tract of the trigeminal nerve
1130,facial nerve
1131,intermediate nerve
1132,genu of the facial nerve
1133,vestibulocochlear nerve
1134,efferent cochleovestibular bundle
1135,vestibular nerve
1136,cochlear nerve
1137,trapezoid body
1138,intermediate acoustic stria
1139,dorsal acoustic stria
1140,lateral lemniscus
1141,inferior colliculus commissure
1142,brachium of the inferior colliculus
1143,glossopharyngeal nerve
1144,vagus nerve
1145,solitary tract
1146,accessory spinal nerve
1147,hypoglossal nerve
1148,ventral roots
1149,dorsal roots
1150,cervicothalamic tract
1151,dorsolateral fascicle
1152,dorsal commissure of the spinal cord
1153,ventral commissure of the spinal cord
1154,fasciculus proprius
1155,dorsal column
1156,cuneate fascicle
1157,gracile fascicle
1158,internal arcuate fibers
1159,medial lemniscus
1160,spinothalamic tract
1161,lateral spinothalamic tract
1162,ventral spinothalamic tract
1163,spinocervical tract
1164,spino-olivary pathway
1165,spinoreticular pathway
1166,spinovestibular pathway
1167,spinotectal pathway
1168,spinohypothalamic pathway
1169,spinotelenchephalic pathway
1170,hypothalamohypophysial tract
1171,cerebellum related fiber tracts
1172,cerebellar commissure
1173,cerebellar peduncles
1174,superior cerebelar peduncles
1175,superior cerebellar peduncle decussation
1176,spinocerebellar tract
1177,uncinate fascicle
1178,ventral spinocerebellar tract
1179,middle cerebellar peduncle
1180,inferior cerebellar peduncle
1181,dorsal spinocerebellar tract
1182,cuneocerebellar tract
1183,juxtarestiform body
1184,bulbocerebellar tract
1185,olivocerebellar tract
1186,reticulocerebellar tract
1187,trigeminocerebellar tract
1188,arbor vitae
1189,supra-callosal cerebral white matter
1190,lateral forebrain bundle system
1191,corpus callosum
1192,"corpus callosum, anterior forceps"
1193,external capsule
1194,"corpus callosum, extreme capsule"
1195,genu of corpus callosum
1196,"corpus callosum, posterior forceps"
1197,"corpus callosum, rostrum"
1198,"corpus callosum, body"
1199,"corpus callosum, splenium"
1200,corticospinal tract
1201,internal capsule
1202,cerebal peduncle
1203,corticotectal tract
1204,corticorubral tract
1205,corticopontine tract
1206,corticobulbar tract
1207,pyramid
1208,pyramidal decussation
1209,"corticospinal tract, crossed"
1210,"corticospinal tract, uncrossed"
1211,thalamus related
1212,external medullary lamina of the thalamus
1213,internal medullary lamina of the thalamus
1214,middle thalamic commissure
1215,thalamic peduncles
1216,optic radiation
1217,auditory radiation
1218,extrapyramidal fiber systems
1219,cerebral nuclei related
1220,pallidothalamic pathway
1221,nigrostriatal tract
1222,nigrothalamic fibers
1223,pallidotegmental fascicle
1224,striatonigral pathway
1225,subthalamic fascicle
1226,tectospinal pathway
1227,direct tectospinal pathway
1228,doral tegmental decussation
1229,crossed tectospinal pathway
1230,rubrospinal tract
1231,ventral tegmental decussation
1232,rubroreticular tract
1233,central tegmental bundle
1234,retriculospinal tract
1235,"retriculospinal tract, lateral part"
1236,"retriculospinal tract, medial part"
1237,vestibulospinal pathway
1238,medial forebrain bundle system
1239,cerebrum related
1240,amygdalar capsule
1241,ansa peduncularis
1242,"anterior commissure, temporal limb"
1243,cingulum bundle
1244,fornix system
1245,alveus
1246,dorsal fornix
1247,fimbria
1248,"precommissural fornix, general"
1249,precommissural fornix diagonal band
1250,postcommissural fornix
1251,medial corticohypothalamic tract
1252,columns of the fornix
1253,hippocampal commissures
1254,dorsal hippocampal commissure
1255,ventral hippocampal commissure
1256,perforant path
1257,angular path
1258,longitudinal association bundle
1259,stria terminalis
1260,commissural branch of stria terminalis
1261,hypothalamus related
1262,medial forebrain bundle
1263,ventrolateral hypothalamic tract
1264,preoptic commissure
1265,supraoptic commissures
1266,"supraoptic commissures, anterior"
1267,"supraoptic commissures, dorsal"
1268,"supraoptic commissures, ventral"
1269,premammillary commissure
1270,supramammillary decussation
1271,propriohypothalamic pathways
1272,"propriohypothalamic pathways, dorsal"
1273,"propriohypothalamic pathways, lateral"
1274,"propriohypothalamic pathways, medial"
1275,"propriohypothalamic pathways, ventral"
1276,periventricular bundle of the hypothalamus
1277,mammillary related
1278,principal mammillary tract
1279,mammillothalamic tract
1280,mammillotegmental tract
1281,mammillary peduncle
1282,dorsal thalamus related
1283,periventricular bundle of the thalamus
1284,epithalamus related
1285,stria medullaris
1286,fasciculus retroflexus
1287,habenular commissure
1288,pineal stalk
1289,midbrain related
1290,dorsal longitudinal fascicle
1291,dorsal tegmental tract
1292,ventricular systems
1293,lateral ventricle
1294,rhinocele
1295,subependymal zone
1296,choroid plexus
1297,choroid fissure
1298,interventricular foramen
1299,third ventricle
1300,cerebral aqueduct
1301,fourth ventricle
1302,lateral recess
1303,"central canal, spinal cord/medulla"
1304,grooves
1305,grooves of the cerebral cortex
1306,endorhinal groove
1307,hippocampal fissure
1308,rhinal fissure
1309,rhinal incisure
1310,grooves of the cerebellar cortex
1311,precentral fissure
1312,preculminate fissure
1313,primary fissure
1314,posterior superior fissure
1315,prepyramidal fissure
1316,secondary fissure
1317,posterolateral fissure
1318,nodular fissure
1319,simple fissure
1320,intercrural fissure
1321,ansoparamedian fissure
1322,intraparafloccular fissure
1323,paramedian sulcus
1324,parafloccular sulcus
1325,Interpeduncular fossa
1326,retina
