,Region
184,"lingual gyrus, right, peristriate"
185,"lingual gyrus, right, striate"
186,occipital pole
187,"occipital pole, left"
188,"occipital pole, left, superior aspect"
189,"occipital pole, left, inferior aspect"
190,"occipital pole, left, lateral aspect"
191,"occipital pole, right"
192,"occipital pole, right, superior aspect"
193,"occipital pole, right, inferior aspect"
194,"occipital pole, right, lateral aspect"
195,occipito-temporal gyrus
196,"occipito-temporal gyrus, left"
197,"occipito-temporal gyrus, left, superior bank of gyrus"
198,"occipito-temporal gyrus, left, inferior bank of gyrus"
199,"occipito-temporal gyrus, right"
200,"occipito-temporal gyrus, right, superior bank of gyrus"
201,"occipito-temporal gyrus, right, inferior bank of gyrus"
202,superior occipital gyrus
203,"superior occipital gyrus, left"
204,"superior occipital gyrus, left, superior bank of gyrus"
205,"superior occipital gyrus, left, inferior bank of gyrus"
206,"superior occipital gyrus, right"
207,"superior occipital gyrus, right, superior bank of gyrus"
208,"superior occipital gyrus, right, inferior bank of gyrus"
209,parietal lobe
210,inferior parietal lobule
211,angular gyrus
212,"angular gyrus, left"
213,"angular gyrus, left, superior bank of gyrus"
214,"angular gyrus, left, inferior bank of gyrus"
215,"angular gyrus, right"
216,"angular gyrus, right, superior bank of gyrus"
217,"angular gyrus, right, inferior bank of gyrus"
218,supramarginal gyrus
219,"supramarginal gyrus, left"
220,"supramarginal gyrus, left, superior bank of gyrus"
221,"supramarginal gyrus, left, inferior bank of gyrus"
222,"supramarginal gyrus, right"
223,"supramarginal gyrus, right, superior bank of gyrus"
224,"supramarginal gyrus, right, inferior bank of gyrus"
225,"paracentral lobule, posterior part"
226,"paracentral lobule, posterior part, left"
227,"paracentral lobule, posterior part, left, lateral bank of gyrus"
228,"paracentral lobule, posterior part, left, bank of cingulate sulcus"
229,"paracentral lobule, posterior part, right"
230,"paracentral lobule, posterior part, right, lateral bank of gyrus"
231,"paracentral lobule, posterior part, right, bank of cingulate sulcus"
232,postcentral gyrus
233,"postcentral gyrus, left"
234,"postcentral gyrus, left, bank of the central sulcus"
235,"postcentral gyrus, left, superior lateral aspect of gyrus"
236,"postcentral gyrus, left, inferior lateral aspect of gyrus"
237,"postcentral gyrus, left, bank of the posterior central sulcus"
238,"postcentral gyrus, right"
239,"postcentral gyrus, right, bank of the central sulcus"
240,"postcentral gyrus, right, superior lateral aspect of gyrus"
241,"postcentral gyrus, right, inferior lateral aspect of gyrus"
242,"postcentral gyrus, right, bank of the posterior central sulcus"
243,precuneus
244,"precuneus, left"
245,"precuneus, left, superior lateral bank of gyrus"
246,"precuneus, left, inferior lateral bank of gyrus"
247,"precuneus, right"
248,"precuneus, right, superior lateral bank of gyrus"
249,"precuneus, right, inferior lateral bank of gyrus"
250,superior parietal lobule
251,"superior parietal lobule, left"
252,"superior parietal lobule, left, superior bank of gyrus"
253,"superior parietal lobule, left, inferior bank of gyrus"
254,"superior parietal lobule, right"
255,"superior parietal lobule, right, superior bank of gyrus"
256,"superior parietal lobule, right, inferior bank of gyrus"
257,temporal lobe
258,fusiform gyrus
259,"fusiform gyrus, left"
260,"fusiform gyrus, left, bank of the its"
261,"fusiform gyrus, left, lateral bank of gyrus"
262,"fusiform gyrus, left, bank of cos"
263,"fusiform gyrus, right"
264,"fusiform gyrus, right, bank of the its"
265,"fusiform gyrus, right, lateral bank of gyrus"
266,"fusiform gyrus, right, bank of cos"
267,Heschl's gyrus
268,"Heschl's gyrus, left"
269,"Heschl's gyrus, right"
270,inferior temporal gyrus
271,"inferior temporal gyrus, left"
272,"inferior temporal gyrus, left, bank of the its"
273,"inferior temporal gyrus, left, lateral bank of gyrus"
274,"inferior temporal gyrus, left, bank of mts"
275,"inferior temporal gyrus, right"
276,"inferior temporal gyrus, right, bank of the its"
277,"inferior temporal gyrus, right, lateral bank of gyrus"
278,"inferior temporal gyrus, right, bank of mts"
279,middle temporal gyrus
280,"middle temporal gyrus, left"
281,"middle temporal gyrus, left, superior bank of gyrus"
282,"middle temporal gyrus, left, inferior bank of gyrus"
283,"middle temporal gyrus, right"
284,"middle temporal gyrus, right, superior bank of gyrus"
285,"middle temporal gyrus, right, inferior bank of gyrus"
286,planum polare
287,"planum polare, left"
288,"planum polare, right"
289,planum temporale
290,"planum temporale, left"
291,"planum temporale, right"
292,superior temporal gyrus
293,"superior temporal gyrus, left"
294,"superior temporal gyrus, left, lateral bank of gyrus"
295,"superior temporal gyrus, left, inferior bank of gyrus"
296,"superior temporal gyrus, right"
297,"superior temporal gyrus, right, lateral bank of gyrus"
298,"superior temporal gyrus, right, inferior bank of gyrus"
299,temporal pole
300,"temporal pole, left"
301,"temporal pole, left, superior aspect"
302,"temporal pole, left, inferior aspect"
303,"temporal pole, left, medial aspect"
304,"temporal pole, right"
305,"temporal pole, right, superior aspect"
306,"temporal pole, right, inferior aspect"
307,"temporal pole, right, medial aspect"
308,transverse gyri
309,"transverse gyri, left"
310,"transverse gyri, right"
311,cerebral nuclei
312,amygdala
313,amygdalohippocampal transition zone
314,"amygdalohippocampal transition zone, left"
315,"amygdalohippocampal area, left"
316,"amygdalohippocampal area, left, magnocellular division"
317,"amygdalohippocampal area, left, parvocellular division"
318,"amygdalohippocampal area, left, marginal layer"
319,"amygdalohippocampal transition zone, right"
320,"amygdalohippocampal area, right"
321,"amygdalohippocampal area, right, magnocellular division"
322,"amygdalohippocampal area, right, parvocellular division"
323,"amygdalohippocampal area, right, marginal layer"
324,anterior amygdaloid area
325,"anterior amygdaloid area, left"
326,"anterior amygdaloid area, left, dorsal division"
327,"anterior amygdaloid area, left, ventral division"
328,"anterior amygdaloid area, right"
329,"anterior amygdaloid area, right, dorsal division"
330,"anterior amygdaloid area, right, ventral division"
331,basolateral nucleus
332,"basolateral nucleus, left"
333,"basolateral nucleus, left, magnocellular (dorsal)"
334,"basolateral nucleus, left, dorsolateral division"
335,"basolateral nucleus, left, intermediate"
336,"basolateral nucleus, left, parvicellular (ventral)"
337,"basolateral nucleus, left, ventrolateral division"
338,"basolateral nucleus, left, ventromedial divison"
339,"basolateral nucleus, right"
340,"basolateral nucleus, right, magnocellular (dorsal)"
341,"basolateral nucleus, right, dorsolateral division"
342,"basolateral nucleus, right, intermediate"
343,"basolateral nucleus, right, parvicellular (ventral)"
344,"basolateral nucleus, right, ventrolateral division"
345,"basolateral nucleus, right, ventromedial divison"
346,basomedial nucleus
347,"basomedial nucleus, left"
348,"basomedial nucleus, left, dorsal division"
349,"basomedial nucleus, left, magnocellular division"
350,"basomedial nucleus, left, dorsolateral division"
351,"basomedial nucleus, left, medial division"
352,"basomedial nucleus, left, ventral division"
353,"basomedial nucleus, left, parvicellular division"
354,"basomedial nucleus, left, ventromedial division"
355,"basomedial nucleus, right"
356,"basomedial nucleus, right, dorsal division"
357,"basomedial nucleus, right, magnocellular division"
358,"basomedial nucleus, right, dorsolateral division"
359,"basomedial nucleus, right, medial division"
360,"basomedial nucleus, right, ventral division"
361,"basomedial nucleus, right, parvicellular division"
362,"basomedial nucleus, right, ventromedial division"
363,central nucleus
364,"central nucleus, left"
365,"central nucleus, medial division, left"
366,"central nucleus, medial division, left, dorsal part"
367,"central nucleus, medial division, left, ventral part"
368,"central nucleus, lateral division, left"
369,"central nucleus, lateral division, left, apical part"
370,"central nucleus, lateral division, left, capsular part"
371,"central nucleus, lateral division, left, paracapsular part"
372,"central nucleus, lateral division, left, central part"
373,"central nucleus, right"
374,"central nucleus, medial division, right"
375,"central nucleus, medial division, right, dorsal part"
376,"central nucleus, medial division, right, ventral part"
377,"central nucleus, lateral division, right"
378,"central nucleus, lateral division, right, apical part"
379,"central nucleus, lateral division, right, capsular part"
380,"central nucleus, lateral division, right, paracapsular part"
381,"central nucleus, lateral division, right, central part"
382,cortico-medial group
383,"cortico-medial group, left"
384,"anterior cortical nucleus, left"
385,"anterior cortical nucleus, left, dorsal division"
386,"anterior cortical nucleus, left, ventral division"
387,"anterior cortical nucleus, left, marginal layer"
388,"medial nucleus, left"
389,"medial nucleus, left, anterior division"
390,"medial nucleus, left, posterior division"
391,"medial nucleus, left, posterior division, dorsal part"
392,"medial nucleus, left, posterior division, ventral part"
393,"medial nucleus, left, marginal layer"
394,"posterior cortical nucleus, left"
395,"posterior cortical nucleus, left, dorsal division"
396,"posterior cortical nucleus, left, ventral division"
397,"posterior cortical nucleus, left, marginal layer"
398,"cortico-medial group, right"
399,"anterior cortical nucleus, right"
400,"anterior cortical nucleus, right, dorsal division"
401,"anterior cortical nucleus, right, ventral division"
402,"anterior cortical nucleus, right, marginal layer"
403,"medial nucleus, right"
404,"medial nucleus, right, anterior division"
405,"medial nucleus, right, posterior division"
406,"medial nucleus, right, posterior division, dorsal part"
407,"medial nucleus, right, posterior division, ventral part"
408,"medial nucleus, right, marginal layer"
409,"posterior cortical nucleus, right"
410,"posterior cortical nucleus, right, dorsal division"
411,"posterior cortical nucleus, right, ventral division"
412,"posterior cortical nucleus, right, marginal layer"
413,intercalated nuclei
414,"intercalated nuclei, left"
415,"intercalated nuclei, right"
416,lateral nucleus
417,"lateral nucleus, left"
418,"lateral nucleus, left, dorsal division"
419,"lateral nucleus, left, dorsal anterior division"
420,"lateral nucleus, left, dorsal medial division"
421,"lateral nucleus, left, dorsal lateral division"
422,"lateral nucleus, left, dorsal lateral division, comb-like part"
423,"lateral nucleus, left, intermediate division"
424,"lateral nucleus, left, ventral division"
425,"lateral nucleus, left, ventral lateral division"
426,"lateral nucleus, left, ventral medial division"
427,"lateral nucleus, left, glomerular division"
428,"lateral nucleus, right"
429,"lateral nucleus, right, dorsal division"
430,"lateral nucleus, right, dorsal anterior division"
431,"lateral nucleus, right, dorsal medial division"
432,"lateral nucleus, right, dorsal lateral division"
433,"lateral nucleus, right, dorsal lateral division, comb-like part"
434,"lateral nucleus, right, intermediate division"
435,"lateral nucleus, right, ventral division"
436,"lateral nucleus, right, ventral lateral division"
437,"lateral nucleus, right, ventral medial division"
438,"lateral nucleus, right, glomerular division"
439,nucleus of the lateral olfactory tract
440,"nucleus of the lateral olfactory tract, left"
441,"nucleus of the lateral olfactory tract, right"
442,paralaminar nucleus
443,"paralmainar nucleus, left"
444,"paralmainar nucleus, left, glomerular part"
445,"paralmainar nucleus, right"
446,"paralmainar nucleus, right, glomerular part"
447,anterior olfactory nucleus
448,"anterior olfactory nucleus, left"
449,"anterior olfactory nucleus, right"
450,basal forebrain
451,septal nuclei
452,"septal nuclei, left"
453,"medial septal nucleus, left"
454,"lateral septal nucleus, left"
455,"septal nuclei, right"
456,"medial septal nucleus, right"
457,"lateral septal nucleus, right"
458,substantia innominata
459,"substantia innominata, left"
460,"basal nucleus of meynert, left"
461,"nucleus of the diagonal band, left"
462,"nucleus of the diagonal band, left, horizontal division"
463,"nucleus of the diagonal band, left, vertical division"
464,"nucleus of the anterior commissure, left"
465,"bed  nucleus of stria terminalis, left"
466,"olfactory tubercle, left"
467,"islands of calleja, left"
468,"substantia innominata, right"
469,"basal nucleus of meynert, right"
470,"nucleus of the diagonal band, right "
471,"nucleus of the diagonal band, right, horizontal division"
472,"nucleus of the diagonal band, right, vertical division"
473,"nucleus of the anterior commissure, right"
474,"bed  nucleus of stria terminalis, right"
475,"olfactory tubercle, right"
476,"islands of calleja, right"
477,basal ganglia
478,globus pallidus
479,"globus pallidus, external segment"
480,"globus pallidus, external segment, left"
481,"globus pallidus, external segment, right"
482,"globus pallidus, internal segment"
483,"globus pallidus, internal segment, left"
484,"globus pallidus, internal segment, right"
485,striatum
486,caudate nucleus
487,body of the caudate nucleus
488,"body of caudate nucleus, left"
489,"body of caudate nucleus, right"
490,head of the caudate nucleus
491,"head of caudate nucleus, left"
492,"head of caudate nucleus, right"
493,tail of the caudate nucleus
494,"tail of caudate nucleus, left"
495,"tail of caudate nucleus, right"
496,nucleus accumbens
497,"nucleus accumbens, left"
498,"nucleus accumbens, right"
499,putamen
500,"putamen, left"
501,"putamen, right"
502,claustrum
503,"claustrum, left"
504,"claustrum, right"
505,diencephalon
506,epithalamus
