,Region
722,"caudal group of intralaminar nuclei, right"
723,"centre median nucleus of the thalamus, right"
724,"parafascicular nucleus of the thalamus, right"
725,dorsal lateral geneiculate nucleus
726,"dorsal lateral geniculate nucleus, left"
727,"dorsal lateral geniculate nucleus, left, magnocellular layers"
728,"dorsal lateral geniculate nucleus, left, parvocellular layers"
729,"dorsal lateral geniculate nucleus, left, s and intercalated layers"
730,"dorsal lateral geniculate nucleus, right"
731,"dorsal lateral geniculate nucleus, right, magnocellular layers"
732,"dorsal lateral geniculate nucleus, right, parvocellular layers"
733,"dorsal lateral geniculate nucleus, right, s and intercalated layers"
734,lateral group of nuclei
735,"lateral group of nuclei, dorsal division"
736,"lateral group of nuclei, left, dorsal division"
737,"lateral posterior nucleus of the thalamus, left"
738,"anterior nucleus of the pulvinar, left"
739,"inferior nucleus of the pulvinar, left"
740,"inferior nucleus of the pulvinar, left, lateral division"
741,"inferior nucleus of the pulvinar, left, medial division"
742,"lateral nucleus of the pulvinar, left"
743,"medial nucleus of the pulvinar, left"
744,"lateral group of nuclei, right, dorsal division"
745,"lateral posterior nucleus of the thalamus, right"
746,"anterior nucleus of the pulvinar, right"
747,"inferior nucleus of the pulvinar, right"
748,"inferior nucleus of the pulvinar, right, lateral division"
749,"inferior nucleus of the pulvinar, right, medial division"
750,"lateral nucleus of the pulvinar, right"
751,"medial nucleus of the pulvinar, right"
752,"lateral group of nuclei, ventral division"
753,"lateral group of nuclei, left, ventral division"
754,"basal ventral medial nucleus of the thalamus, left"
755,"ventral anterior nucleus of the thalamus, left"
756,"ventral anterior nucleus of the thalamus, left, magnocellular division"
757,"ventral anterior nucleus of the thalamus, left, principal division"
758,"ventral lateral anterior nucleus of the thalamus, left"
759,"ventral lateral posterior nucleus of the thalamus, left"
760,"ventral medial nucleus of the thalamus, left"
761,"ventral posterior inferior nucleus of the thalamus, left"
762,"ventral posterior lateral nucleus of the thalamus, left"
763,"ventral posterior lateral nucleus of the thalamus, left, anterior division"
764,"ventral posterior lateral nucleus of the thalamus, left, posterior division"
765,"ventral posterior medial nucleus of the thalamus, left"
766,"lateral group of nuclei, right, ventral division"
767,"basal ventral medial nucleus of the thalamus, right"
768,"ventral anterior nucleus of the thalamus, right"
769,"ventral anterior nucleus of the thalamus, right, magnocellular division"
770,"ventral anterior nucleus of the thalamus, right, principal division"
771,"ventral lateral anterior nucleus of the thalamus, right"
772,"ventral lateral posterior nucleus of the thalamus, right"
773,"ventral medial nucleus of the thalamus, right"
774,"ventral posterior inferior nucleus of the thalamus, right"
775,"ventral posterior lateral nucleus of the thalamus, right"
776,"ventral posterior lateral nucleus of the thalamus, right, anterior division"
777,"ventral posterior lateral nucleus of the thalamus, right, posterior division"
778,"ventral posterior medial nucleus of the thalamus, right"
779,medial geniculate complex
780,"medial geniculate complex, left"
781,"dorsal nucelus of medial geniculate complex, left"
782,"anterodorsal nucleus of medial geniculate complex, left"
783,"posterodorsal nucleus of medial geniculate complex, left"
784,"magnocellular nucleus of the medial geniculate complex, left"
785,"ventral nucleus of the medial geniculate complex, left"
786,"medial geniculate complex, right"
787,"dorsal nucelus of medial geniculate complex, right"
788,"anterodorsal nucleus of medial geniculate complex, right"
789,"posterodorsal nucleus of medial geniculate complex, right"
790,"magnocellular nucleus of the medial geniculate complex, right"
791,"ventral nucleus of the medial geniculate complex, right"
792,medial group of nuclei
793,"medial group of nuclei, left"
794,"mediodorsal nucleus of the thalamus, left"
795,"mediodorsal nucleus of the thalamus, left, parvocellular division"
796,"mediodorsal nucleus of the thalamus, left, magnocellular division"
797,"mediodorsal nucleus of the thalamus, left, densocelllular division"
798,"mediodorsal nucleus of thalamus, left, multiform (lateral) division"
799,"medioventral nucleus of the thalamus, left"
800,"parataenial nucleus of the thalamus, left"
801,"submedial nucleus of the thalamus, left"
802,"medial group of nuclei, right"
803,"mediodorsal nucleus of the thalamus, right"
804,"mediodorsal nucleus of the thalamus, right, parvocellular division"
805,"mediodorsal nucleus of the thalamus, right, magnocellular division"
806,"mediodorsal nucleus of the thalamus, right, densocelllular division"
807,"mediodorsal nucleus of thalamus, right, multiform (lateral) division"
808,"medioventral nucleus of the thalamus, right"
809,"parataenial nucleus of the thalamus, right"
810,"submedial nucleus of the thalamus, right"
811,posterior group of nuclei
812,"posterior group of nuclei, left"
813,"limitans nucleus of the thalamus, left"
814,"posterior nucleus of the thalamus, left"
815,"suprageniculate nucleus of the thalamus, left"
816,"posterior group of nuclei, right"
817,"limitans nucleus of the thalamus, right"
818,"posterior nucleus of the thalamus, right"
819,"suprageniculate nucleus of the thalamus, right"
820,rostral group of intralaminar nuclei
821,"rostral group of intralaminar nuclei, left"
822,"central lateral nucleus of the thalamus, left"
823,"central medial nucleus of the thalamus, left"
824,"paracentral nucleus of the thalamus, left"
825,"rhomboid nucleus of the thalamus, left"
826,"rostral group of intralaminar nuclei, right"
827,"central lateral nucleus of the thalamus, right"
828,"central medial nucleus of the thalamus, right"
829,"paracentral nucleus of the thalamus, right"
830,"rhomboid nucleus of the thalamus, right"
831,ventral thalamus
832,"ventral thalamus, left"
833,"nucleus of the H field of Forel, left"
834,"reticular nucleus of thalamus, left"
835,"zona incerta, left"
836,"ventral thalamus, right"
837,"nucleus of the H field of Forel, right"
838,"reticular nucleus of thalamus, right"
839,"zona incerta, right"
840,mesencephalon
841,midbrain tectum
842,inferior colliculus
843,"inferior colliculus, left"
844,"central nucleus of the inferior colliculus, left"
845,"external nucleus of the inferior colliculus, left"
846,"pericentral nucleus of the inferior colliculus, left"
847,"inferior colliculus, right"
848,"central nucleus of the inferior colliculus, right"
849,"external nucleus of the inferior colliculus, right"
850,"pericentral nucleus of the inferior colliculus, right"
851,intercollicular nucleus
852,"intercollicular nucleus, left"
853,"intercollicular nucleus, right"
854,nucleus of the brachium of the inferior colliculus
855,"nucleus of the brachium of the inferior colliculus, left"
856,"nucleus of the brachium of the inferior colliculus, right"
857,parabigeminal nucleus
858,"parabigeminal nucleus, left"
859,"parabigeminal nucleus, right"
860,superior colliculus
861,"superior colliculus, left"
862,"stratum lemnisci of the superior colliculus, left"
863,"deep gray layer of the superior colliculus, left"
864,"deep white layer of the superior colliculus, left"
865,"middle gray layer of the superior colliculus, left"
866,"middle white layer of the superior colliculus, left"
867,"superficial gray layer of the superior colliculus, left"
868,"superficial white layer of the superior colliculus, left"
869,"superior colliculus, right"
870,"stratum lemnisci of the superior colliculus, right"
871,"deep gray layer of the superior colliculus, right"
872,"deep white layer of the superior colliculus, right"
873,"middle gray layer of the superior colliculus, right"
874,"middle white layer of the superior colliculus, right"
875,"superficial gray layer of the superior colliculus, right"
876,"superficial white layer of the superior colliculus, right"
877,sagulum nucleus
878,"sagulum nucleus, left"
879,"sagulum, nucleus, right"
880,subcommissural organ
881,"subcommissural organ, left"
882,"subcommissural organ, right"
883,midbrain tegmentum
884,central gray substance of midbrain
885,"central gray substance of midbrain, left"
886,"central gray substance of midbrain, left, dorsolateral division"
887,"central gray substance of midbrain, left, dorsomedial division"
888,"central gray substance of midbrain, left, lateral division"
889,"central gray substance of midbrain, left, pleioglial division"
890,"central gray substance of midbrain, left, ventrolateral division"
891,"central gray substance of midbrain, right"
892,"central gray substance of midbrain, right, dorsolateral division"
893,"central gray substance of midbrain, right, dorsomedial division"
894,"central gray substance of midbrain, right, lateral division"
895,"central gray substance of midbrain, right, pleioglial division"
896,"central gray substance of midbrain, right, ventrolateral division"
897,Edinger-Westphal nucleus
898,"Edinger-Westphal nucleus, left"
899,"Edinger-Westphal nucleus, right"
900,interpeduncular nucleus
901,"interpeduncular nucleus, left"
902,"interpeduncular nucleus, right"
903,interstitial nucleus of Cajal
904,"interstitial nucleus of Cajal, left"
905,"interstitial nucleus of Cajal, right"
906,isthmic reticular formation
907,"isthmic reticular formation, left"
908,"isthmic reticular formation, right"
909,midbrain raphe nuclei
910,"midbrain raphe nuclei, left"
911,"dorsal raphe nucleus, left"
912,"dorsal raphe nucleus, left, dorsal part"
913,"dorsal raphe nucleus, left, interfascicular part"
914,"dorsal raphe nucleus, left, raphe cap"
915,"dorsal raphe nucleus, left, ventral part"
916,"median raphe, left"
917,"midbrain raphe nuclei, right"
918,"dorsal raphe nucleus, right"
919,"dorsal raphe nucleus, right, dorsal part"
920,"dorsal raphe nucleus, right, interfascicular part"
921,"dorsal raphe nucleus, right, raphe cap"
922,"dorsal raphe nucleus, right, ventral part"
923,"median raphe, right"
924,midbrain reticular formation
925,"midbrain reticular formation, left"
926,"cuneiform nucleus, left"
927,"pedunculopontine tegmental nucleus, left"
928,"subcuneiform nucleus, left"
929,"midbrain reticular formation, right"
930,"cuneiform nucleus, right"
931,"pedunculopontine tegmental nucleus, right"
932,"subcuneiform nucleus, right"
933,nucleus of Darkschewitsch
934,"nucleus of Darkschewitsch, left"
935,"nucleus of Darkschewitsch, right"
936,nucleus of the posterior commissure
937,"nucleus of the posterior commissure, left"
938,"nucleus of the posterior commissure, right"
939,oculomotor nuclear complex
940,"oculomotor nuclear complex, left"
941,"anterior median oculomotor nucleus, left"
942,"caudal central oculomotor nucleus, left"
943,"central oculomotor nucleus, left"
944,"dorsal oculomotor nucleus, left"
945,"intermediate oculomotor nucleus, left"
946,"medial oculomotor nucleus, left"
947,"ventral oculomotor nucleus, left"
948,"oculomotor nuclear complex, right"
949,"anterior median oculomotor nucleus, right"
950,"caudal central oculomotor nucleus, right"
951,"central oculomotor nucleus, right"
952,"dorsal oculomotor nucleus, right"
953,"intermediate oculomotor nucleus, right"
954,"medial oculomotor nucleus, right"
955,"ventral oculomotor nucleus, right"
956,peripeduncular nucleus
957,"peripeduncular nucleus, left"
958,"peripeduncular nucleus, right"
959,red nucleus
960,"red nucleus, left"
961,"magnocellular part of the red nucleus, left"
962,"parvocellular part of the red nucleus, left"
963,"red nucleus, right"
964,"magnocellular part of the red nucleus, right"
965,"parvocellular part of thered nucleus, right"
966,rostral interstitial nucleus of the medial longitudinal fasciculus
967,"rostral interstitial nucleus of the medial longitudinal fasciculus, left"
968,"rostral interstitial nucleus of the medial longitudinal fasciculus, right"
969,substantia nigra
970,"substantia nigra, left"
971,"substantia nigra, pars compacta, left"
972,"substantia nigra, pars reticulata, left"
973,"substantia nigra, right"
974,"substantia nigra, pars compacta, right"
975,"substantia nigra, pars reticulata, right"
976,trochlear nucleus
977,"trochlear nucleus, left"
978,"trochlear nucleus, right"
979,ventral tegmental area
980,"ventral tegmental area, left"
981,"caudal linear nucleus, left"
982,"interfascicular nucleus, left"
983,"parabrachial pigmented nucleus, left"
984,"paranigral nucleus, left"
985,"rostral linear nucleus, left"
986,"ventral tegmental area, right"
987,"caudal linear nucleus, right"
988,"interfascicular nucleus, right"
989,"parabrachial pigmented nucleus, right"
990,"paranigral nucleus, right"
991,"rostral linear nucleus, right"
992,ventral tegmental nucleus
993,"ventral tegmental nucleus, left"
994,"ventral tegmental nucleus, right"
995,pretectal region
996,nucleus of the optic tract
997,"nucleus of the optic tract, left"
998,"nucleus of the optic tract, right"
999,nucleus of the pretectal area
1000,"nucleus of the pretectal area, left"
1001,"nucleus of the pretectal area, right"
1002,olivary pretectal nucleus
1003,"olivary pretectal nucleus, left"
1004,"olivary pretectal nucleus, right"
1005,principal pretectal nucleus
1006,"principal pretectal nucleus, left"
1007,"principal pretectal nucleus, right"
1008,sublentiform nucleus
1009,"sublentiform nucleus, left"
1010,"sublentiform nucleus, right"
1011,metencephalon
1012,cerebellum
1013,cerebellar cortex
1014,vermis
1015,anterior lobe of the vermis
1016,I-II
1017,III
1018,IV
1019,V
1020,posterior lobe of the vermis
1021,VI
1022,VIIAf
1023,VIIAt
1024,VIIB
1025,VIIIA
1026,VIIIB
1027,IX
1028,Flocculonodular Lobe of the Vermis
1029,X
1030,cerebellar hemispheres
1031,Anterior Lobe
1032,I-II
1033,"I-II, left, paravermis"
1034,"I-II, left, lateral hemisphere"
1035,"I-II, right, paravermis"
1036,"I-II, right, lateral hemisphere"
1037,III
1038,"III, left, paravermis"
1039,"III, left, lateral hemisphere"
1040,"III, right, paravermis"
1041,"III, right, lateral hemisphere"
1042,IV
1043,"IV, left, paravermis"
1044,"IV, left, lateral hemisphere"
1045,"IV, right, paravermis"
1046,"IV, right, lateral hemisphere"
1047,V
1048,"V, left, paravermis"
1049,"V, left, lateral hemisphere"
1050,"V, right, paravermis"
1051,"V, right, lateral hemisphere"
1052,Posterior Lobe
1053,VI
1054,"VI, left, paravermis"
1055,"VI, left, lateral hemisphere"
1056,"VI, right, paravermis"
1057,"VI, right, lateral hemisphere"
1058,crus I
1059,"Crus I, left, paravermis"
1060,"Crus I, left, lateral hemisphere"
1061,"Crus I, right, paravermis"
1062,"Crus I, right, lateral hemisphere"
1063,crus II
1064,"Crus II, left, paravermis"
1065,"Crus II, left, lateral hemisphere"
1066,"Crus II, right, paravermis"
1067,"Crus II, right, lateral hemisphere"
1068,VIIB
1069,"VIIB, left, paravermis"
1070,"VIIB, left, lateral hemisphere"
1071,"VIIB, right, paravermis"
1072,"VIIB, right, lateral hemisphere"
1073,VIIIA
1074,"VIIIA, left, paravermis"
1075,"VIIIA, left, lateral hemisphere"
1076,"VIIIA, right, paravermis"
1077,"VIIIA, right, lateral hemisphere"
1078,VIIIB
1079,"VIIIB, left, paravermis"
1080,"VIIIB, left, lateral hemisphere"
1081,"VIIIB, right, paravermis"
1082,"VIIIB, right, lateral hemisphere"
1083,IX
1084,"IX, left, paravermis"
1085,"IX, left, lateral hemisphere"
1086,"IX, right, paravermis"
1087,"IX, right, lateral hemisphere"
1088,flocculonodular lobe
1089,X
1090,"X, left, paravermis"
1091,"X, left, lateral hemisphere"
1092,"X, right, paravermis"
1093,"X, right, lateral hemisphere"
1094,cerebellar nuclei
1095,dentate nucleus
1096,"dentate nucleus, left"
1097,"dentate nucleus, right"
1098,emboliform nucleus
1099,"emboliform nucleus, left"
1100,"emboliform nucleus, right"
1101,fastigial nucleus
1102,"fastigial nucleus, left"
1103,"fastigial nucleus, right"
1104,globose nucleus
1105,"globose nucleus, left"
1106,"globose nucleus, right"
1107,pons
1108,basal part of pons
1109,pontine nuclei
1110,"pontine nuclei, left"
1111,"pontine nuclei, right"
1112,pontine tegmentum
1113,abducens nucleus
1114,"abducens nucleus, left"
1115,"abducens nucleus, right"
1116,accessory facial nucleus
1117,"accessory facial nucleus, left"
1118,"accessory facial nucleus, right"
1119,accessory trigeminal nucleus
1120,"accessory trigeminal nucleus, left"
1121,"accessory trigeminal nucleus, right"
1122,central gray of the pons
1123,"central gray of the pons, left"
1124,"central gray of the pons, right"
1125,dorsal nucleus of lateral lemniscus
1126,"dorsal nucleus of lateral lemniscus, left"
1127,"dorsal nucleus of lateral lemniscus, right"
1128,dorsomedial tegmental area
1129,"dorsomedial tegmental area, left"
1130,"dorsomedial tegmental area, right"
1131,dorsal tegmental nucleus
1132,"dorsal tegmental nucleus, left"
1133,"dorsal tegmental nucleus, right"
1134,facial motor nucleus
1135,"facial motor nucleus, left"
1136,"facial motor nucleus, left, lateral part"
1137,"facial motor nucleus, left, intermediate part"
1138,"facial motor nucleus, left, medial part"
1139,"facial motor nucleus, left, perifacial zone"
1140,"facial motor nucleus, left, ventral part"
1141,"facial motor nucleus, left, ventrolateral part"
1142,"facial motor nucleus, right"
1143,"facial motor nucleus, right, lateral part"
1144,"facial motor nucleus, right, intermediate part"
1145,"facial motor nucleus, right, medial part"
1146,"facial motor nucleus, right, perifacial zone"
1147,"facial motor nucleus, right, ventral part"
1148,"facial motor nucleus, right, ventrolateral part"
1149,intermediate nucleus of lateral lemniscus
1150,"intermediate nucleus of lateral lemniscus, left"
1151,"intermediate nucleus of lateral lemniscus, right"
1152,lateral dorsal tegmental nucleus
1153,"lateral dorsal tegmental nucleus, left"
1154,"lateral dorsal tegmental nucleus, right"
1155,lateral parabrachial nucleus
1156,"lateral parabrachial nucleus, left"
1157,"lateral parabrachial nucleus, right"
1158,locus ceruleus
1159,"locus ceruleus, left"
1160,"locus ceruleus, right"
1161,medial parabrachial nucleus
1162,"medial parabrachial nucleus, left"
1163,"medial parabrachial nucleus,right"
1164,nucleus subceruleus
1165,"nucleus subceruleus, left"
1166,"nucleus subceruleus, right"
1167,pontine gamma nucleus
1168,"pontine gamma nucleus, left"
1169,"pontine gamma nucleus, right"
1170,pontine raphe nucleus
1171,"pontine raphe nucleus, left"
1172,"pontine raphe nucleus,right"
1173,paramedian pontine reticular formation
1174,"pontine reticular formation, left"
1175,"caudal pontine reticular nucleus, left"
1176,"oral pontine reticular nucleus, left"
1177,"reticulotegmental nucleus, left"
1178,"pontine reticular formation, right"
1179,"caudal pontine reticular nucleus, right"
1180,"oral pontine reticular nucleus, right"
1181,"reticulotegmental nucleus, right"
1182,superior olivary complex
1183,"superior olivary complex, left"
1184,"periolivary nucleus, left"
1185,"preolivary nucleus, left"
1186,"retro-olivary cell group, left"
1187,"superior olive, left"
1188,"lateral superior olivary nucleus, left"
1189,"medial superior olivary nucleus, left"
1190,"superior paraolivary nucleus, left"
1191,"trapezoid nuclei, left"
1192,"superior olivary complex, right"
1193,"periolivary nucleus, right"
1194,"preolivary nucleus, right"
1195,"retro-olivary cell group, right"
1196,"superior olive, right"
1197,"lateral superior olivary nucleus, right"
1198,"medial superior olivary nucleus, right"
1199,"superior paraolivary nucleus, right"
1200,"trapezoid nuclei, right"
1201,superior salivatory nucleus
1202,"superior salivatory nucleus, left"
1203,"superior salivatory nucleus, right"
1204,trapezoid body
1205,"trapezoid body, left"
1206,"trapezoid body, right"
1207,trigeminal nuclei
1208,"trigeminal nuclei, left"
1209,"mesencephalic nucleus of trigeminal nerve, left"
1210,"motor nucleus of trigeminal nerve, left"
1211,"principal sensory nucleus of trigeminal nerve, left"
1212,"trigeminal nuclei, right"
1213,"mesencephalic nucleus of trigeminal nerve, right"
1214,"motor nucleus of trigeminal nerve, right"
1215,"principal sensory nucleus of trigeminal nerve, right"
1216,ventral nucleus of lateral lemniscus
1217,"ventral nucleus of lateral lemniscus, left"
1218,"ventral nucleus of lateral lemniscus, right"
1219,myelencephalon
1220,accessory cuneate nucleus
1221,"accessory cuneate nucleus, left"
1222,"accessory cuneate nucleus, right"
1223,ambiguus nucleus
1224,"ambiguus nucleus, left"
1225,"ambiguus nucleus, right"
1226,arcuate nucleus of medulla
1227,"arcuate nucleus of medulla, left"
1228,"arcuate nucleus of medulla, right"
1229,area postrema
1230,"area postrema, left"
1231,"area postrema, right"
1232,central glial substance
1233,"central glial substance, left"
1234,"central glial substance, right"
1235,central gray of the medulla
1236,"central gray of the medulla, left"
1237,"central gray of the medulla, right"
1238,cochlear nuclei
1239,"cochlear nuclei, left"
1240,"dorsal cochlear nucleus, left"
1241,"ventral cochlear nuclei, left"
1242,"anteroventral cochlear nucleus, left"
1243,"posteroventral cochlear nucleus, left"
1244,"cochlear nuclei, right"
1245,"dorsal cochlear nucleus, right"
1246,"ventral cochlear nuclei, right"
1247,"anteroventral cochlear nucleus, right"
1248,"posteroventral cochlear nucleus, right"
1249,conterminalis
1250,"conterminalis, left"
1251,"conterminalis, right"
1252,cuneate nucleus
1253,"cuneate nucleus, left"
1254,"cuneate nucleus, right"
1255,dorsal motor nucleus of the vagus
1256,"dorsal motor nucleus of the vagus, left"
1257,"dorsal motor nucleus of the vagus, right"
1258,endolemniscal nucleus
1259,"endolemniscal nucleus, left"
1260,"endolemniscal nucleus, right"
1261,epifascicular nucleus
1262,"epifascicular nucleus, left"
1263,"epifascicular nucleus, right"
1264,external (accessory/lateral) cuneate nucleus
1265,"external (accessory/lateral) cuneate nucleus, left"
1266,"external (accessory/lateral) cuneate nucleus, right"
1267,gracile nucleus
1268,"gracile nucleus, left"
1269,"gracile nucleus, right"
1270,hypoglossal nucleus
1271,"hypoglossal nucleus, left"
1272,"hypoglossal nucleus, right"
1273,inferior olivary complex
1274,"inferior olivary complex, left"
1275,"dorsal accessory inferior olivary nucleus, left"
1276,"medial accessory inferior olivary nucleus, left"
1277,"principal inferior olivary nucleus, left"
1278,"beta inferior olivary nucleus, left"
1279,"inferior olivary complex, right"
1280,"dorsal accessory inferior olivary nucleus, right"
1281,"medial accessory inferior olivary nucleus, right"
1282,"principal inferior olivary nucleus, right"
1283,"beta inferior olivary nucleus, right"
1284,inferior salivatory nucleus
1285,"inferior salivatory nucleus, left"
1286,"inferior salivatory nucleus, right"
1287,intercalated nucleus
1288,"intercalated nucleus, left"
1289,"intercalated nucleus, right"
1290,interfascicular hypoglossal nucleus
1291,"interfascicular hypoglossal nucleus, left"
1292,"interfascicular hypoglossal nucleus, right"
1293,interpositus nucleus
1294,"interpositus nucleus, left"
1295,"interpositus nucleus, right"
1296,lateral pericuneate nucleus
1297,"lateral pericuneate nucleus, left"
1298,"lateral pericuneate nucleus, right"
1299,medial pericuneate nucleus
1300,"medial pericuneate nucleus, left"
1301,"medial pericuneate nucleus, right"
1302,medullary reticular formation
1303,central medullary reticular group
1304,"central medullary reticular group, left"
1305,"central reticular nucleus of the medulla, left"
1306,"medial reticular nucleus of the medulla, left"
1307,"ventral reticular nucleus of the medulla, left"
1308,"intermediate zone, left"
1309,"central medullary reticular group, right"
1310,"central reticular nucleus of the medulla, right"
1311,"medial reticular nucleus of the medulla, right"
1312,"ventral reticular nucleus of the medulla, right"
1313,"intermediate zone, right"
1314,gigantocellular group
1315,"gigantocellular group, left"
1316,"dorsal paragigantocellular nucleus, left"
1317,"lateral paragigantocellular nucleus, left"
1318,"gigantocellular nucleus, left"
1319,"gigantocellular nucleus, ventral part, left"
1320,"paragigantocellular nucleus, alpha part, left"
1321,"gigantocellular group, right"
1322,"dorsal paragigantocellular nucleus, right"
1323,"lateral paragigantocellular nucleus, right"
1324,"gigantocellular nucleus, right"
1325,"gigantocellular nucleus, ventral part, right"
1326,"paragigantocellular nucleus, alpha part, right"
1327,lateral medullary reticular group
1328,"lateral medullary reticular group, left"
1329,"epiolivary nucleus, left"
1330,"lateral reticular nucleus, left"
1331,"parvocellular division, left"
1332,"subtrigeminal division, left"
1333,"lateral medullary reticular group, right"
1334,"epiolivary nucleus, right"
1335,"lateral reticular nucleus, right"
1336,"parvocellular division, right"
1337,"subtrigeminal division, right"
1338,parvicellular reticular nucleus
1339,"parvicellular reticular nucleus, left"
1340,"parvicellular reticular nucleus, right"
1341,nucleus of Roller
1342,"nucleus of Roller, left"
1343,"nucleus of Roller, right"
1344,paratrigeminal nucleus
1345,"paratrigeminal nucleus, left"
1346,"paratrigeminal nucleus, right"
1347,peritrigeminal nucleus
1348,"peritrigeminal nucleus, left"
1349,"peritrigeminal nucleus, right"
1350,pontobulbar nucleus
1351,"pontobulbar nucleus, left"
1352,"pontobulbar nucleus, right"
1353,prepositus nucleus
1354,"prepositus nucleus, left"
1355,"prepositus nucleus, right"
1356,raphe nuclei of medulla
1357,nucleus raphe magnus
1358,"nucleus raphe magnus, left"
1359,"nucleus raphe magnus, right"
1360,nucleus raphe obscurus
1361,"nucleus raphe obscurus, left"
1362,"nucleus raphe obscurus, right"
1363,nucleus raphe pallidus
1364,nucleus pararaphales
1365,"nucleus pararaphales, left"
1366,"nucleus pararaphales, right"
1367,retroambiguus nucleus
1368,"retroambiguus nucleus, left"
1369,"retroambiguus nucleus, right"
1370,solitary nucleus
1371,"solitary nucleus, left"
1372,"solitary nucleus, left, commissural subnucleus"
1373,"solitary nucleus, left, dorsal subnucleus"
1374,"solitary nucleus, left, dorsolateral subnucleus"
1375,"solitary nucleus, left, gelantinosus subnucleus"
1376,"solitary nucleus, left, interstitial subnucleus"
1377,"solitary nucleus, left, intermediate subnucleus"
1378,"solitary nucleus, left, meidal subnucleus"
1379,"solitary nucleus, left, paracommissural part"
1380,"solitary nucleus, left, ventral subnucleus"
1381,"ventrolateral subnucleus of solitary tract, left"
1382,"solitary nucleus, right"
1383,"solitary nucleus, right, commissural subnucleus"
1384,"solitary nucleus, right, dorsal subnucleus"
1385,"solitary nucleus, right, dorsolateral subnucleus"
1386,"solitary nucleus, right, gelantinosus subnucleus"
1387,"solitary nucleus, right, interstitial subnucleus"
1388,"solitary nucleus, right, intermediate subnucleus"
1389,"solitary nucleus, right, meidal subnucleus"
1390,"solitary nucleus, right, paracommissural part"
1391,"solitary nucleus, right, ventral subnucleus"
1392,"ventrolateral subnucleus of solitary tract, right"
1393,spinal trigeminal nucleus
1394,"spinal trigeminal nucleus, left"
1395,"caudal spinal trigeminal nucleus, left"
1396,"caudal spinal trigeminal nucleus, left, gelatenous part"
1397,"caudal spinal trigeminal nucleus, left, magnocellular part"
1398,"caudal spinal trigeminal nucleus, left, zonal part"
1399,"interpolar part of spinal trigeminal nucleus, left"
1400,"oral part of spinal trigeminal nucleus, left"
1401,"spinal trigeminal nucleus, right"
1402,"caudal spinal trigeminal nucleus, right"
1403,"caudal spinal trigeminal nucleus, right, gelatenous part"
1404,"caudal spinal trigeminal nucleus, right, magnocellular part"
1405,"caudal spinal trigeminal nucleus, right, zonal part"
1406,"interpolar part of spinal trigeminal nucleus, right"
1407,"oral part of spinal trigeminal nucleus, right"
1408,suprageniculate nucleus of the medulla
1409,"suprageniculate nucleus of the medulla, left"
1410,"suprageniculate nucleus of the medulla, right"
1411,supraspinal nucleus
1412,"supraspinal nucleus, left"
1413,"supraspinal nucleus, right"
1414,vestibular nuclei
1415,"vestibular nuclei, left"
1416,"lateral vestibular nucleus, left"
1417,"medial vestibular nucleus, left"
1418,"spinal vestibular nucleus, left"
1419,"superior vestibular nucleus, left"
1420,"vestibular nuclei, right"
1421,"lateral vestibular nucleus, right"
1422,"medial vestibular nucleus, right"
1423,"spinal vestibular nucleus, right"
1424,"superior vestibular nucleus, right"
1425,white matter
1426,telencephalic white matter
1427,telencephalic commissures
1428,anterior commissure
1429,corpus callosum
1430,body of the corpus callosum
1431,genu of the corpus callosum
1432,rostrum of the corpus callosum
1433,splenium of the corpus callosum
1434,radiations of corpus callosum
1435,tapetum of corpus callosum
1436,habenular commissure
1437,hippocampal commissure
1438,posterior commissure
1439,supramamillary commissure
1440,telencephalic white matter tracts
1441,acoustic radiation
1442,"acoustic radiation, left"
1443,"acoustic radiation, right"
1444,arcuate fasciculus
1445,"arcuate fasciculus, left"
1446,"arcuate fasciculus, right"
1447,alveus
1448,"alveus, left"
1449,"alveus, right"
1450,amygdalotegmental tract
1451,"amygdalotegmental tract, left"
1452,"amygdalotegmental tract, right"
1453,angular bundle
1454,"angular bundle, left"
1455,"angular bundle, right"
1456,ansa lenticularis
1457,"ansa lenticularis, left"
1458,"ansa lenticularis, right"
1459,ansa peduncularis
1460,"ansa peduncularis, left"
1461,"ansa peduncularis, right"
1462,bundle X
1463,"bundle X, left"
1464,"bundle X, right"
1465,cingulum bundle
1466,"cingulum bundle, left"
1467,"cingulum bundle, right"
1468,comb fibers
1469,"comb fibers, left"
1470,"comb fibers, right"
1471,corona radiata
1472,"corona radiata, left"
1473,"corona radiata, right"
1474,corticobulbar tract
1475,"corticobulbar tract, supracapsular part"
1476,"corticobulbar tract, supracapsular part, left"
1477,"corticobulbar tract, supracapsular part, right"
1478,"corticobulbar tract, infracapsular part"
1479,"corticobulbar tract, infracapsular part, left"
1480,"corticobulbar tract, infracapsular part, right"
1481,external capsule
1482,"external capsule, left"
1483,"external capsule, right"
1484,external medullary lamina of globus pallidus
1485,"external medullary lamina of globus pallidus, left"
1486,"external medullary lamina of globus pallidus, right"
1487,external medullary lamina of thalamus
1488,"external medullary lamina of thalamus, left"
1489,"external medullary lamina of thalamus, right"
1490,extreme capsule
1491,"extreme capsule, left"
1492,"extreme capsule, right"
1493,fornix
1494,"fornix, left"
1495,"anterior column of the fornix, left"
1496,"body of the fornix, left"
1497,"fimbria, left"
1498,"posterior column of the fornix, left"
1499,"fornix, right"
1500,"anterior column of the fornix, right"
